Student Name,Student Number,Course Name,Module enrolled in,Module completed,Grade,Module to repeat,
James Sanchez,S015,Electrical Engineering,Introduction to Electrical Engineering,Introduction to Electrical Engineering,98,,
James Sanchez,S015,Electrical Engineering,Circuit Analysis,Circuit Analysis,68,,
James Sanchez,S015,Electrical Engineering,Electromagnetic Fields,,39,Electromagnetic Fields,
Brittany Torres,S016,Electrical Engineering,Introduction to Electrical Engineering,Introduction to Electrical Engineering,94,,
Brittany Torres,S016,Electrical Engineering,Circuit Analysis,Circuit Analysis,88,,
Brittany Torres,S016,Electrical Engineering,Electromagnetic Fields,Electromagnetic Fields,69,,
Andrew Rivera,S017,Electrical Engineering,Introduction to Electrical Engineering,Introduction to Electrical Engineering,75,,
Andrew Rivera,S017,Electrical Engineering,Circuit Analysis,Circuit Analysis,77,,
Andrew Rivera,S017,Electrical Engineering,Electromagnetic Fields,Electromagnetic Fields,43,,
Kayla Flores,S018,Electrical Engineering,Introduction to Electrical Engineering,Introduction to Electrical Engineering,46,,
Kayla Flores,S018,Electrical Engineering,Circuit Analysis,Circuit Analysis,60,,
Kayla Flores,S018,Electrical Engineering,Electromagnetic Fields,,23,Electromagnetic Fields,
Brandon Gonzales,S020,Psychology,Introduction to Psychology,Introduction to Psychology,49,,
Brandon Gonzales,S020,Psychology,Developmental Psychology,Developmental Psychology,45,,
Brandon Gonzales,S020,Psychology,Abnormal Psychology,Abnormal Psychology,57,,
Crystal Diaz,S021,Psychology,Introduction to Psychology,Introduction to Psychology,79,,
Crystal Diaz,S021,Psychology,Developmental Psychology,,29,Developmental Psychology,
Crystal Diaz,S021,Psychology,Abnormal Psychology,,26,Abnormal Psychology,
Maria Wright,S022,Psychology,Introduction to Psychology,,22,Introduction to Psychology,
Maria Wright,S022,Psychology,Developmental Psychology,Developmental Psychology,67,,
Maria Wright,S022,Psychology,Abnormal Psychology,,3,Abnormal Psychology,
Justin Washington,S023,Psychology,Introduction to Psychology,,10,Introduction to Psychology,
Justin Washington,S023,Psychology,Developmental Psychology,Developmental Psychology,62,,
Justin Washington,S023,Psychology,Abnormal Psychology,Abnormal Psychology,57,,
Alexis Hill,S024,Psychology,Introduction to Psychology,,23,Introduction to Psychology,
Alexis Hill,S024,Psychology,Developmental Psychology,Developmental Psychology,66,,
Alexis Hill,S024,Psychology,Abnormal Psychology,Abnormal Psychology,76,,
Robert Scott,S025,Psychology,Introduction to Psychology,Introduction to Psychology,89,,
Robert Scott,S025,Psychology,Developmental Psychology,Developmental Psychology,82,,
Robert Scott,S025,Psychology,Abnormal Psychology,,7,Abnormal Psychology,
Victoria Green,S026,Psychology,Introduction to Psychology,Introduction to Psychology,42,,
Victoria Green,S026,Psychology,Developmental Psychology,,11,Developmental Psychology,
Victoria Green,S026,Psychology,Abnormal Psychology,Abnormal Psychology,78,,
Jonathan Adams,S027,Psychology,Introduction to Psychology,,25,Introduction to Psychology,
Jonathan Adams,S027,Psychology,Developmental Psychology,Developmental Psychology,43,,
Jonathan Adams,S027,Psychology,Abnormal Psychology,Abnormal Psychology,90,,
Olivia Baker,S028,Psychology,Introduction to Psychology,Introduction to Psychology,54,,
Olivia Baker,S028,Psychology,Developmental Psychology,,36,Developmental Psychology,
Olivia Baker,S028,Psychology,Abnormal Psychology,Abnormal Psychology,43,,
Nicholas Nelson,S029,Psychology,Introduction to Psychology,,17,Introduction to Psychology,
Nicholas Nelson,S029,Psychology,Developmental Psychology,Developmental Psychology,82,,
Nicholas Nelson,S029,Psychology,Abnormal Psychology,Abnormal Psychology,47,,
Stephanie Campbell,S030,Psychology,Introduction to Psychology,Introduction to Psychology,45,,
Stephanie Campbell,S030,Psychology,Developmental Psychology,Developmental Psychology,63,,
Stephanie Campbell,S030,Psychology,Abnormal Psychology,Abnormal Psychology,84,,
Katherine Perez,S032,English Literature,English Literature: Early Periods,English Literature: Early Periods,50,,
Katherine Perez,S032,English Literature,English Literature: Romanticism to Modernism,English Literature: Romanticism to Modernism,99,,
Katherine Perez,S032,English Literature,Shakespearean Studies,,25,Shakespearean Studies,
Tyler Roberts,S033,English Literature,English Literature: Early Periods,English Literature: Early Periods,52,,
Tyler Roberts,S033,English Literature,English Literature: Romanticism to Modernism,English Literature: Romanticism to Modernism,83,,
Tyler Roberts,S033,English Literature,Shakespearean Studies,,29,Shakespearean Studies,
Brittney Turner,S034,English Literature,English Literature: Early Periods,English Literature: Early Periods,42,,
Brittney Turner,S034,English Literature,English Literature: Romanticism to Modernism,,0,English Literature: Romanticism to Modernism,
Brittney Turner,S034,English Literature,Shakespearean Studies,Shakespearean Studies,73,,
Zachary Phillips,S035,English Literature,English Literature: Early Periods,English Literature: Early Periods,41,,
Zachary Phillips,S035,English Literature,English Literature: Romanticism to Modernism,,16,English Literature: Romanticism to Modernism,
Zachary Phillips,S035,English Literature,Shakespearean Studies,Shakespearean Studies,95,,
Destiny Edwards,S036,English Literature,English Literature: Early Periods,,9,English Literature: Early Periods,
Destiny Edwards,S036,English Literature,English Literature: Romanticism to Modernism,,7,English Literature: Romanticism to Modernism,
Destiny Edwards,S036,English Literature,Shakespearean Studies,,12,Shakespearean Studies,
Jose Wood,S037,English Literature,English Literature: Early Periods,English Literature: Early Periods,81,,
Jose Wood,S037,English Literature,English Literature: Romanticism to Modernism,,39,English Literature: Romanticism to Modernism,
Jose Wood,S037,English Literature,Shakespearean Studies,Shakespearean Studies,84,,
Cody Brooks,S039,History,Introduction to History,,10,Introduction to History,
Cody Brooks,S039,History,Ancient Civilizations,,31,Ancient Civilizations,
Cody Brooks,S039,History,World War History,World War History,54,,
Elizabeth Bennett,S040,History,Introduction to History,Introduction to History,96,,
Elizabeth Bennett,S040,History,Ancient Civilizations,Ancient Civilizations,84,,
Elizabeth Bennett,S040,History,World War History,,12,World War History,
Nathan Gray,S041,History,Introduction to History,Introduction to History,95,,
Nathan Gray,S041,History,Ancient Civilizations,Ancient Civilizations,51,,
Nathan Gray,S041,History,World War History,World War History,99,,
Christina James,S042,History,Introduction to History,Introduction to History,97,,
Christina James,S042,History,Ancient Civilizations,Ancient Civilizations,41,,
Christina James,S042,History,World War History,World War History,55,,
Cameron Collins,S043,History,Introduction to History,Introduction to History,52,,
Cameron Collins,S043,History,Ancient Civilizations,,38,Ancient Civilizations,
Cameron Collins,S043,History,World War History,World War History,94,,
Victoria Patterson,S044,History,Introduction to History,Introduction to History,99,,
Victoria Patterson,S044,History,Ancient Civilizations,Ancient Civilizations,97,,
Victoria Patterson,S044,History,World War History,World War History,49,,
Brandon Alexander,S045,History,Introduction to History,Introduction to History,81,,
Brandon Alexander,S045,History,Ancient Civilizations,,8,Ancient Civilizations,
Brandon Alexander,S045,History,World War History,World War History,66,,
Haley Baker,S046,History,Introduction to History,Introduction to History,81,,
Haley Baker,S046,History,Ancient Civilizations,Ancient Civilizations,92,,
Haley Baker,S046,History,World War History,World War History,68,,
Dylan Thompson,S047,History,Introduction to History,Introduction to History,49,,
Dylan Thompson,S047,History,Ancient Civilizations,,8,Ancient Civilizations,
Dylan Thompson,S047,History,World War History,World War History,47,,
Madison White,S048,History,Introduction to History,Introduction to History,43,,
Madison White,S048,History,Ancient Civilizations,Ancient Civilizations,87,,
Madison White,S048,History,World War History,,32,World War History,
Sean Harris,S049,History,Introduction to History,Introduction to History,54,,
Sean Harris,S049,History,Ancient Civilizations,Ancient Civilizations,74,,
Sean Harris,S049,History,World War History,,31,World War History,
Isabella Martinez,S050,History,Introduction to History,,26,Introduction to History,
Isabella Martinez,S050,History,Ancient Civilizations,Ancient Civilizations,56,,
Isabella Martinez,S050,History,World War History,World War History,96,,
Connor King,S051,History,Introduction to History,Introduction to History,42,,
Connor King,S051,History,Ancient Civilizations,,0,Ancient Civilizations,
Connor King,S051,History,World War History,,12,World War History,
Julian Young,S053,Chemistry,Introduction to Chemistry,,7,Introduction to Chemistry,
Julian Young,S053,Chemistry,Organic Chemistry,Organic Chemistry,82,,
Julian Young,S053,Chemistry,Inorganic Chemistry,,13,Inorganic Chemistry,
Morgan Hall,S054,Chemistry,Introduction to Chemistry,,34,Introduction to Chemistry,
Morgan Hall,S054,Chemistry,Organic Chemistry,Organic Chemistry,49,,
Morgan Hall,S054,Chemistry,Inorganic Chemistry,Inorganic Chemistry,90,,
Paige Allen,S055,Chemistry,Introduction to Chemistry,Introduction to Chemistry,79,,
Paige Allen,S055,Chemistry,Organic Chemistry,Organic Chemistry,91,,
Paige Allen,S055,Chemistry,Inorganic Chemistry,,3,Inorganic Chemistry,
Blake Perez,S056,Chemistry,Introduction to Chemistry,Introduction to Chemistry,71,,
Blake Perez,S056,Chemistry,Organic Chemistry,Organic Chemistry,91,,
Blake Perez,S056,Chemistry,Inorganic Chemistry,Inorganic Chemistry,85,,
Hannah Scott,S057,Chemistry,Introduction to Chemistry,,3,Introduction to Chemistry,
Hannah Scott,S057,Chemistry,Organic Chemistry,,39,Organic Chemistry,
Hannah Scott,S057,Chemistry,Inorganic Chemistry,,12,Inorganic Chemistry,
Aaron Carter,S058,Chemistry,Introduction to Chemistry,,36,Introduction to Chemistry,
Aaron Carter,S058,Chemistry,Organic Chemistry,Organic Chemistry,49,,
Aaron Carter,S058,Chemistry,Inorganic Chemistry,Inorganic Chemistry,92,,
Trinity Nguyen,S059,Chemistry,Introduction to Chemistry,Introduction to Chemistry,66,,
Trinity Nguyen,S059,Chemistry,Organic Chemistry,,27,Organic Chemistry,
Trinity Nguyen,S059,Chemistry,Inorganic Chemistry,Inorganic Chemistry,93,,
Kyle Moore,S060,Chemistry,Introduction to Chemistry,Introduction to Chemistry,41,,
Kyle Moore,S060,Chemistry,Organic Chemistry,Organic Chemistry,85,,
Kyle Moore,S060,Chemistry,Inorganic Chemistry,,23,Inorganic Chemistry,
Savannah Walker,S061,Chemistry,Introduction to Chemistry,Introduction to Chemistry,43,,
Savannah Walker,S061,Chemistry,Organic Chemistry,Organic Chemistry,46,,
Savannah Walker,S061,Chemistry,Inorganic Chemistry,Inorganic Chemistry,87,,
Allison Perez,S063,Business Administration,Principles of Business Administration,Principles of Business Administration,66,,
Allison Perez,S063,Business Administration,Marketing Management,Marketing Management,88,,
Allison Perez,S063,Business Administration,Financial Accounting,Financial Accounting,75,,
Isaac Hill,S064,Business Administration,Principles of Business Administration,,5,Principles of Business Administration,
Isaac Hill,S064,Business Administration,Marketing Management,Marketing Management,50,,
Isaac Hill,S064,Business Administration,Financial Accounting,,5,Financial Accounting,
Riley Wright,S065,Business Administration,Principles of Business Administration,Principles of Business Administration,91,,
Riley Wright,S065,Business Administration,Marketing Management,,21,Marketing Management,
Riley Wright,S065,Business Administration,Financial Accounting,Financial Accounting,44,,
Ava Robinson,S066,Business Administration,Principles of Business Administration,Principles of Business Administration,92,,
Ava Robinson,S066,Business Administration,Marketing Management,Marketing Management,42,,
Ava Robinson,S066,Business Administration,Financial Accounting,,2,Financial Accounting,
Caleb Diaz,S067,Business Administration,Principles of Business Administration,,23,Principles of Business Administration,
Caleb Diaz,S067,Business Administration,Marketing Management,,38,Marketing Management,
Caleb Diaz,S067,Business Administration,Financial Accounting,Financial Accounting,82,,
Leah Adams,S068,Business Administration,Principles of Business Administration,,13,Principles of Business Administration,
Leah Adams,S068,Business Administration,Marketing Management,Marketing Management,72,,
Leah Adams,S068,Business Administration,Financial Accounting,Financial Accounting,74,,
Addison Torres,S070,Mathematics,Calculus I,,6,Calculus I,
Addison Torres,S070,Mathematics,Calculus II,Calculus II,48,,
Addison Torres,S070,Mathematics,Linear Algebra,Linear Algebra,97,,
Mia Ramirez,S071,Mathematics,Calculus I,Calculus I,63,,
Mia Ramirez,S071,Mathematics,Calculus II,Calculus II,84,,
Mia Ramirez,S071,Mathematics,Linear Algebra,Linear Algebra,48,,
Gabriel Evans,S072,Mathematics,Calculus I,,7,Calculus I,
Gabriel Evans,S072,Mathematics,Calculus II,Calculus II,54,,
Gabriel Evans,S072,Mathematics,Linear Algebra,,40,Linear Algebra,
Samantha Martinez,S073,Mathematics,Calculus I,Calculus I,62,,
Samantha Martinez,S073,Mathematics,Calculus II,Calculus II,42,,
Samantha Martinez,S073,Mathematics,Linear Algebra,Linear Algebra,79,,
Luke Phillips,S074,Mathematics,Calculus I,Calculus I,64,,
Luke Phillips,S074,Mathematics,Calculus II,Calculus II,50,,
Luke Phillips,S074,Mathematics,Linear Algebra,Linear Algebra,68,,
Ella Johnson,S075,Mathematics,Calculus I,,28,Calculus I,
Ella Johnson,S075,Mathematics,Calculus II,Calculus II,76,,
Ella Johnson,S075,Mathematics,Linear Algebra,Linear Algebra,91,,
David Brown,S076,Mathematics,Calculus I,,1,Calculus I,
David Brown,S076,Mathematics,Calculus II,,31,Calculus II,
David Brown,S076,Mathematics,Linear Algebra,,40,Linear Algebra,
Anna Thompson,S077,Mathematics,Calculus I,Calculus I,96,,
Anna Thompson,S077,Mathematics,Calculus II,Calculus II,69,,
Anna Thompson,S077,Mathematics,Linear Algebra,Linear Algebra,78,,
Jackson Lewis,S078,Mathematics,Calculus I,,12,Calculus I,
Jackson Lewis,S078,Mathematics,Calculus II,Calculus II,58,,
Jackson Lewis,S078,Mathematics,Linear Algebra,Linear Algebra,56,,
Avery Lee,S079,Mathematics,Calculus I,,5,Calculus I,
Avery Lee,S079,Mathematics,Calculus II,,1,Calculus II,
Avery Lee,S079,Mathematics,Linear Algebra,Linear Algebra,51,,
Evelyn King,S080,Mathematics,Calculus I,,2,Calculus I,
Evelyn King,S080,Mathematics,Calculus II,,25,Calculus II,
Evelyn King,S080,Mathematics,Linear Algebra,,39,Linear Algebra,
Katherine Patel,S082,Physics,Classical Mechanics,Classical Mechanics,66,,
Katherine Patel,S082,Physics,Electromagnetism,,16,Electromagnetism,
Katherine Patel,S082,Physics,Thermodynamics,Thermodynamics,51,,
Thomas Carter,S083,Physics,Classical Mechanics,,5,Classical Mechanics,
Thomas Carter,S083,Physics,Electromagnetism,Electromagnetism,92,,
Thomas Carter,S083,Physics,Thermodynamics,Thermodynamics,99,,
Julia Foster,S084,Physics,Classical Mechanics,Classical Mechanics,55,,
Julia Foster,S084,Physics,Electromagnetism,,19,Electromagnetism,
Julia Foster,S084,Physics,Thermodynamics,Thermodynamics,60,,
Liam Bell,S085,Physics,Classical Mechanics,Classical Mechanics,66,,
Liam Bell,S085,Physics,Electromagnetism,Electromagnetism,55,,
Liam Bell,S085,Physics,Thermodynamics,Thermodynamics,84,,
Madeline Powell,S086,Physics,Classical Mechanics,Classical Mechanics,56,,
Madeline Powell,S086,Physics,Electromagnetism,,15,Electromagnetism,
Madeline Powell,S086,Physics,Thermodynamics,Thermodynamics,77,,
Christian Ross,S087,Physics,Classical Mechanics,,9,Classical Mechanics,
Christian Ross,S087,Physics,Electromagnetism,Electromagnetism,58,,
Christian Ross,S087,Physics,Thermodynamics,Thermodynamics,68,,
Charlotte Flores,S088,Physics,Classical Mechanics,Classical Mechanics,47,,
Charlotte Flores,S088,Physics,Electromagnetism,Electromagnetism,99,,
Charlotte Flores,S088,Physics,Thermodynamics,,14,Thermodynamics,
Gavin Cooper,S089,Physics,Classical Mechanics,,14,Classical Mechanics,
Gavin Cooper,S089,Physics,Electromagnetism,,34,Electromagnetism,
Gavin Cooper,S089,Physics,Thermodynamics,,11,Thermodynamics,
Daniel Nelson,S091,Art History,Introduction to Art History,Introduction to Art History,45,,
Daniel Nelson,S091,Art History,Renaissance Art,,5,Renaissance Art,
Daniel Nelson,S091,Art History,Modern Art,Modern Art,47,,
Grace Howard,S092,Art History,Introduction to Art History,,34,Introduction to Art History,
Grace Howard,S092,Art History,Renaissance Art,Renaissance Art,61,,
Grace Howard,S092,Art History,Modern Art,Modern Art,92,,
Jack Bennett,S093,Art History,Introduction to Art History,Introduction to Art History,52,,
Jack Bennett,S093,Art History,Renaissance Art,Renaissance Art,98,,
Jack Bennett,S093,Art History,Modern Art,Modern Art,82,,
Aubrey Gray,S094,Art History,Introduction to Art History,,28,Introduction to Art History,
Aubrey Gray,S094,Art History,Renaissance Art,Renaissance Art,49,,
Aubrey Gray,S094,Art History,Modern Art,Modern Art,63,,
Logan Bell,S095,Art History,Introduction to Art History,,4,Introduction to Art History,
Logan Bell,S095,Art History,Renaissance Art,Renaissance Art,43,,
Logan Bell,S095,Art History,Modern Art,Modern Art,61,,
Zoe Cooper,S096,Art History,Introduction to Art History,,21,Introduction to Art History,
Zoe Cooper,S096,Art History,Renaissance Art,Renaissance Art,56,,
Zoe Cooper,S096,Art History,Modern Art,Modern Art,68,,
Aiden Rivera,S097,Art History,Introduction to Art History,Introduction to Art History,61,,
Aiden Rivera,S097,Art History,Renaissance Art,,18,Renaissance Art,
Aiden Rivera,S097,Art History,Modern Art,,5,Modern Art,
Amelia Ward,S098,Art History,Introduction to Art History,Introduction to Art History,96,,
Amelia Ward,S098,Art History,Renaissance Art,Renaissance Art,80,,
Amelia Ward,S098,Art History,Modern Art,Modern Art,55,,
Lucas Diaz,S099,Art History,Introduction to Art History,Introduction to Art History,71,,
Lucas Diaz,S099,Art History,Renaissance Art,,34,Renaissance Art,
Lucas Diaz,S099,Art History,Modern Art,Modern Art,72,,
Audrey Hayes,S100,Art History,Introduction to Art History,,1,Introduction to Art History,
Audrey Hayes,S100,Art History,Renaissance Art,Renaissance Art,50,,
Audrey Hayes,S100,Art History,Modern Art,Modern Art,57,,
Connor Martinez,S101,Art History,Introduction to Art History,Introduction to Art History,86,,
Connor Martinez,S101,Art History,Renaissance Art,,27,Renaissance Art,
Connor Martinez,S101,Art History,Modern Art,Modern Art,72,,
Lillian Wright,S102,Art History,Introduction to Art History,,16,Introduction to Art History,
Lillian Wright,S102,Art History,Renaissance Art,Renaissance Art,86,,
Lillian Wright,S102,Art History,Modern Art,,31,Modern Art,
Juliana Sanders,S110,Political Science,Introduction to Political Science,,2,Introduction to Political Science,
Juliana Sanders,S110,Political Science,Comparative Politics,Comparative Politics,51,,
Juliana Sanders,S110,Political Science,International Relations,,40,International Relations,
Jacob Price,S111,Political Science,Introduction to Political Science,Introduction to Political Science,44,,
Jacob Price,S111,Political Science,Comparative Politics,Comparative Politics,64,,
Jacob Price,S111,Political Science,International Relations,,31,International Relations,
Brooklyn Rodriguez,S112,Political Science,Introduction to Political Science,,14,Introduction to Political Science,
Brooklyn Rodriguez,S112,Political Science,Comparative Politics,,9,Comparative Politics,
Brooklyn Rodriguez,S112,Political Science,International Relations,International Relations,41,,
Charlie Stewart,S113,Political Science,Introduction to Political Science,Introduction to Political Science,97,,
Charlie Stewart,S113,Political Science,Comparative Politics,,32,Comparative Politics,
Charlie Stewart,S113,Political Science,International Relations,International Relations,74,,
Scarlett Turner,S114,Political Science,Introduction to Political Science,Introduction to Political Science,75,,
Scarlett Turner,S114,Political Science,Comparative Politics,Comparative Politics,61,,
Scarlett Turner,S114,Political Science,International Relations,International Relations,56,,
Maximilian Hill,S115,Political Science,Introduction to Political Science,Introduction to Political Science,72,,
Maximilian Hill,S115,Political Science,Comparative Politics,Comparative Politics,82,,
Maximilian Hill,S115,Political Science,International Relations,,38,International Relations,
Ariana Griffin,S116,Political Science,Introduction to Political Science,Introduction to Political Science,42,,
Ariana Griffin,S116,Political Science,Comparative Politics,,40,Comparative Politics,
Ariana Griffin,S116,Political Science,International Relations,International Relations,63,,
Colton Diaz,S117,Political Science,Introduction to Political Science,,9,Introduction to Political Science,
Colton Diaz,S117,Political Science,Comparative Politics,,2,Comparative Politics,
Colton Diaz,S117,Political Science,International Relations,,34,International Relations,
Harper Hayes,S118,Political Science,Introduction to Political Science,,31,Introduction to Political Science,
Harper Hayes,S118,Political Science,Comparative Politics,Comparative Politics,83,,
Harper Hayes,S118,Political Science,International Relations,International Relations,60,,
Dominic Coleman,S119,Political Science,Introduction to Political Science,,34,Introduction to Political Science,
Dominic Coleman,S119,Political Science,Comparative Politics,,15,Comparative Politics,
Dominic Coleman,S119,Political Science,International Relations,,26,International Relations,
Vivian Stewart,S121,Sociology,Introduction to Sociology,Introduction to Sociology,79,,
Vivian Stewart,S121,Sociology,Social Research Methods,,12,Social Research Methods,
Vivian Stewart,S121,Sociology,Sociological Theories,Sociological Theories,58,,
Chase Kelly,S122,Sociology,Introduction to Sociology,,38,Introduction to Sociology,
Chase Kelly,S122,Sociology,Social Research Methods,Social Research Methods,96,,
Chase Kelly,S122,Sociology,Sociological Theories,,25,Sociological Theories,
Adeline Richardson,S123,Sociology,Introduction to Sociology,Introduction to Sociology,72,,
Adeline Richardson,S123,Sociology,Social Research Methods,,17,Social Research Methods,
Adeline Richardson,S123,Sociology,Sociological Theories,Sociological Theories,94,,
Owen Griffin,S124,Sociology,Introduction to Sociology,,30,Introduction to Sociology,
Owen Griffin,S124,Sociology,Social Research Methods,Social Research Methods,92,,
Owen Griffin,S124,Sociology,Sociological Theories,Sociological Theories,64,,
Audrey Collins,S125,Sociology,Introduction to Sociology,,39,Introduction to Sociology,
Audrey Collins,S125,Sociology,Social Research Methods,,32,Social Research Methods,
Audrey Collins,S125,Sociology,Sociological Theories,,27,Sociological Theories,
Emilia Torres,S126,Sociology,Introduction to Sociology,Introduction to Sociology,54,,
Emilia Torres,S126,Sociology,Social Research Methods,,1,Social Research Methods,
Emilia Torres,S126,Sociology,Sociological Theories,Sociological Theories,58,,
Elias Diaz,S127,Sociology,Introduction to Sociology,Introduction to Sociology,79,,
Elias Diaz,S127,Sociology,Social Research Methods,,12,Social Research Methods,
Elias Diaz,S127,Sociology,Sociological Theories,Sociological Theories,95,,
Willow Myers,S128,Sociology,Introduction to Sociology,Introduction to Sociology,69,,
Willow Myers,S128,Sociology,Social Research Methods,,40,Social Research Methods,
Willow Myers,S128,Sociology,Sociological Theories,,28,Sociological Theories,
Adalyn Howard,S130,Environmental Science,Environmental Science Fundamentals,,10,Environmental Science Fundamentals,
Adalyn Howard,S130,Environmental Science,Climate Change and Policy,Climate Change and Policy,63,,
Adalyn Howard,S130,Environmental Science,Environmental Sustainability,,4,Environmental Sustainability,
Silas Pierce,S131,Environmental Science,Environmental Science Fundamentals,,16,Environmental Science Fundamentals,
Silas Pierce,S131,Environmental Science,Climate Change and Policy,Climate Change and Policy,50,,
Silas Pierce,S131,Environmental Science,Environmental Sustainability,,24,Environmental Sustainability,
Autumn Stevens,S132,Environmental Science,Environmental Science Fundamentals,Environmental Science Fundamentals,71,,
Autumn Stevens,S132,Environmental Science,Climate Change and Policy,,18,Climate Change and Policy,
Autumn Stevens,S132,Environmental Science,Environmental Sustainability,Environmental Sustainability,72,,
Benjamin Bailey,S133,Environmental Science,Environmental Science Fundamentals,,0,Environmental Science Fundamentals,
Benjamin Bailey,S133,Environmental Science,Climate Change and Policy,,4,Climate Change and Policy,
Benjamin Bailey,S133,Environmental Science,Environmental Sustainability,Environmental Sustainability,85,,
Alice Johnston,S134,Environmental Science,Environmental Science Fundamentals,Environmental Science Fundamentals,62,,
Alice Johnston,S134,Environmental Science,Climate Change and Policy,,27,Climate Change and Policy,
Alice Johnston,S134,Environmental Science,Environmental Sustainability,Environmental Sustainability,50,,
Grayson Holmes,S135,Environmental Science,Environmental Science Fundamentals,Environmental Science Fundamentals,53,,
Grayson Holmes,S135,Environmental Science,Climate Change and Policy,Climate Change and Policy,83,,
Grayson Holmes,S135,Environmental Science,Environmental Sustainability,,10,Environmental Sustainability,
Clara Palmer,S136,Environmental Science,Environmental Science Fundamentals,,11,Environmental Science Fundamentals,
Clara Palmer,S136,Environmental Science,Climate Change and Policy,,7,Climate Change and Policy,
Clara Palmer,S136,Environmental Science,Environmental Sustainability,,6,Environmental Sustainability,
Cole Bishop,S137,Environmental Science,Environmental Science Fundamentals,Environmental Science Fundamentals,91,,
Cole Bishop,S137,Environmental Science,Climate Change and Policy,,36,Climate Change and Policy,
Cole Bishop,S137,Environmental Science,Environmental Sustainability,Environmental Sustainability,42,,
Lucy Kennedy,S138,Environmental Science,Environmental Science Fundamentals,Environmental Science Fundamentals,92,,
Lucy Kennedy,S138,Environmental Science,Climate Change and Policy,Climate Change and Policy,85,,
Lucy Kennedy,S138,Environmental Science,Environmental Sustainability,Environmental Sustainability,61,,
Hudson Mills,S139,Environmental Science,Environmental Science Fundamentals,,0,Environmental Science Fundamentals,
Hudson Mills,S139,Environmental Science,Climate Change and Policy,,25,Climate Change and Policy,
Hudson Mills,S139,Environmental Science,Environmental Sustainability,Environmental Sustainability,45,,
Juliette Fuller,S140,Environmental Science,Environmental Science Fundamentals,,14,Environmental Science Fundamentals,
