Lecturer Name,Role,Module,Number of Students,Type class,
Mary,Associate Professor,Sociolinguistics,64,anthropological linguistics,
Mary,Associate Professor,Language Documentation and Revitalization,0,anthropological linguistics,
Lisa,Lecturer,Public Policy Analysis II,48,public policy,
Lisa,Lecturer,Policy Implementation II,48,public policy,
Lisa,Lecturer,Policy Evaluation II,48,public policy,
Lisa,Lecturer,Comparative Public Policy,0,public policy,
Blake,Adjunct Professor,Neuro Linguistic Programming Fundamentals,56,neuro linguistic programming,
Blake,Adjunct Professor,Language Patterns,56,neuro linguistic programming,
Blake,Adjunct Professor,Belief Change Techniques,56,neuro linguistic programming,
Blake,Adjunct Professor,Advanced NLP Strategies,0,neuro linguistic programming,
John,Assistant Professor,Introduction to Artificial Intelligence,40,artificial intelligence,
John,Assistant Professor,Machine Learning II,40,artificial intelligence,
John,Assistant Professor,Deep Learning,40,artificial intelligence,
John,Assistant Professor,Computer Vision,0,artificial intelligence,
David,Professor,Biochemical Principles,88,chemical biology,
David,Professor,Cellular and Molecular Biology,88,chemical biology,
David,Professor,Structural Biology,88,chemical biology,
David,Professor,Genomics and Proteomics,0,chemical biology,
Lisa,Lecturer,Advanced Data Science Techniques II,104,data science,
Lisa,Lecturer,Machine Learning III,104,data science,
Lisa,Lecturer,Big Data Analytics,104,data science,
Lisa,Lecturer,Data Visualization,0,data science,
Michael,Adjunct Professor,Software Development Fundamentals,88,software engineering,
Michael,Adjunct Professor,Web Development,88,software engineering,
Michael,Adjunct Professor,Software Testing and Quality Assurance,88,software engineering,
Michael,Adjunct Professor,Agile Software Development I,0,software engineering,
Blake,Adjunct Professor,Introduction to Biomedical Engineering,104,biomedical engineering,
Blake,Adjunct Professor,Biomaterials and Biomechanics,104,biomedical engineering,
Blake,Adjunct Professor,Biomedical Signal Processing,104,biomedical engineering,
Blake,Adjunct Professor,Biomechanics in Biomedical Engineering,0,biomedical engineering,
Blake,Adjunct Professor,Medical Imaging Techniques,0,biomedical engineering,
Blake,Adjunct Professor,Bioinformatics in Healthcare,0,biomedical engineering,
